starttime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,usertype,Total Duration,Number of Trips,Avg Trip Duration,Path Name
2017,3183,Exchange Place,40.7162469,-74.0334588,304,Broadway & Battery Pl,40.70463334,-74.01361706,Customer,22012,1,22012,Exchange Place to Broadway & Battery Pl
2017,3183,Exchange Place,40.7162469,-74.0334588,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,Customer,49759,5,9951.8,Exchange Place to Vesey Pl & River Terrace
2017,3183,Exchange Place,40.7162469,-74.0334588,426,West St & Chambers St,40.71754834,-74.01322069,Subscriber,1393,1,1393,Exchange Place to West St & Chambers St
2017,3183,Exchange Place,40.7162469,-74.0334588,514,12 Ave & W 40 St,40.76087502,-74.00277668,Subscriber,2291,1,2291,Exchange Place to 12 Ave & W 40 St
2017,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,Customer,1100785,277,3973.953069,Exchange Place to Exchange Place
2017,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,Subscriber,547186,320,1709.95625,Exchange Place to Exchange Place
2017,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,(blank),1818,2,909,Exchange Place to Exchange Place
2017,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,Customer,42837,45,951.9333333,Exchange Place to Paulus Hook
2017,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,Subscriber,139848,485,288.3463918,Exchange Place to Paulus Hook
2017,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,Customer,30723,47,653.6808511,Exchange Place to City Hall
2017,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,Subscriber,207108,628,329.7898089,Exchange Place to City Hall
2017,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,(blank),433,1,433,Exchange Place to City Hall
2017,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,Customer,104569,68,1537.779412,Exchange Place to Grove St PATH
2017,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,Subscriber,347699,540,643.887037,Exchange Place to Grove St PATH
2017,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,Customer,66645,64,1041.328125,Exchange Place to Warren St
2017,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,Subscriber,317747,921,345.0021716,Exchange Place to Warren St
2017,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,(blank),6102,3,2034,Exchange Place to Warren St
2017,3183,Exchange Place,40.7162469,-74.0334588,3188,NJCU,40.7101087,-74.0858489,Subscriber,3935,3,1311.666667,Exchange Place to NJCU
2017,3183,Exchange Place,40.7162469,-74.0334588,3189,West Side Light Rail,40.714402,-74.0887723,Subscriber,3592,2,1796,Exchange Place to West Side Light Rail
2017,3183,Exchange Place,40.7162469,-74.0334588,3190,Garfield Ave Station,40.71046702,-74.0700388,Subscriber,68613,69,994.3913043,Exchange Place to Garfield Ave Station
2017,3183,Exchange Place,40.7162469,-74.0334588,3191,Union St,40.7182113,-74.0836394,Customer,2126,1,2126,Exchange Place to Union St
2017,3183,Exchange Place,40.7162469,-74.0334588,3191,Union St,40.7182113,-74.0836394,Subscriber,7583,5,1516.6,Exchange Place to Union St
2017,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,Customer,121703,76,1601.355263,Exchange Place to Liberty Light Rail
2017,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,Subscriber,474222,564,840.8191489,Exchange Place to Liberty Light Rail
2017,3183,Exchange Place,40.7162469,-74.0334588,3193,Lincoln Park,40.7246051,-74.07840595,Customer,2044,2,1022,Exchange Place to Lincoln Park
2017,3183,Exchange Place,40.7162469,-74.0334588,3193,Lincoln Park,40.7246051,-74.07840595,Subscriber,36402,24,1516.75,Exchange Place to Lincoln Park
2017,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,Customer,5468,5,1093.6,Exchange Place to McGinley Square
2017,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,Subscriber,210672,235,896.4765957,Exchange Place to McGinley Square
2017,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.73074263,-74.06378388,Customer,3949,2,1974.5,Exchange Place to Sip Ave
2017,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.73074263,-74.06378388,Subscriber,81000,68,1191.176471,Exchange Place to Sip Ave
2017,3183,Exchange Place,40.7162469,-74.0334588,3196,Riverview Park,40.7443187,-74.0439909,Customer,2136,1,2136,Exchange Place to Riverview Park
2017,3183,Exchange Place,40.7162469,-74.0334588,3196,Riverview Park,40.7443187,-74.0439909,Subscriber,54031,33,1637.30303,Exchange Place to Riverview Park
2017,3183,Exchange Place,40.7162469,-74.0334588,3198,Heights Elevator,40.74871595,-74.0404433,Customer,31742,6,5290.333333,Exchange Place to Heights Elevator
2017,3183,Exchange Place,40.7162469,-74.0334588,3198,Heights Elevator,40.74871595,-74.0404433,Subscriber,179851,121,1486.371901,Exchange Place to Heights Elevator
2017,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,Customer,318846,147,2169.020408,Exchange Place to Newport Pkwy
2017,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,Subscriber,639577,1072,596.6203358,Exchange Place to Newport Pkwy
2017,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,(blank),668,1,668,Exchange Place to Newport Pkwy
2017,3183,Exchange Place,40.7162469,-74.0334588,3200,MLK Light Rail,40.7111305,-74.0788855,Subscriber,3013,3,1004.333333,Exchange Place to MLK Light Rail
2017,3183,Exchange Place,40.7162469,-74.0334588,3201,Dey St,40.737711,-74.066921,Customer,1297,1,1297,Exchange Place to Dey St
2017,3183,Exchange Place,40.7162469,-74.0334588,3201,Dey St,40.737711,-74.066921,Subscriber,30676,18,1704.222222,Exchange Place to Dey St
2017,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,Customer,144863,115,1259.678261,Exchange Place to Newport PATH
2017,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,Subscriber,486190,879,553.1171786,Exchange Place to Newport PATH
2017,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,Customer,23030,24,959.5833333,Exchange Place to Hamilton Park
2017,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,Subscriber,651185,627,1038.572568,Exchange Place to Hamilton Park
2017,3183,Exchange Place,40.7162469,-74.0334588,3205,JC Medical Center,40.71653978,-74.04963791,Customer,59501,34,1750.029412,Exchange Place to JC Medical Center
2017,3183,Exchange Place,40.7162469,-74.0334588,3205,JC Medical Center,40.71653978,-74.04963791,Subscriber,114391,156,733.275641,Exchange Place to JC Medical Center
2017,3183,Exchange Place,40.7162469,-74.0334588,3205,JC Medical Center,40.71653978,-74.04963791,(blank),5930,1,5930,Exchange Place to JC Medical Center
2017,3183,Exchange Place,40.7162469,-74.0334588,3206,Hilltop,40.7311689,-74.0575736,Customer,7480,7,1068.571429,Exchange Place to Hilltop
2017,3183,Exchange Place,40.7162469,-74.0334588,3206,Hilltop,40.7311689,-74.0575736,Subscriber,45510,37,1230,Exchange Place to Hilltop
2017,3183,Exchange Place,40.7162469,-74.0334588,3207,Oakland Ave,40.7376037,-74.0524783,Customer,3231,2,1615.5,Exchange Place to Oakland Ave
